id	p1	median_age	area	developed_land	residential_density	land_use_proximity	age_death	singlefamily_property_value	year_built	commercial_permits	commercial_year_built	gas_consumption	heated_sqft	commute_time	drive_alone	dropout_rate	change_residential_property_value	impervious_surface	unexcused_absences	transit_proximity	rental_units	foodstamps	foreclosures	employed_6_months	median_household_income	grocery_stores	medicaid	housing_units	part_time	new_building_permits	structures_in_floodplain	water_consumption	fire_calls	births_to_adolescents	growth_3_5	growth_6_8	growth_9_12	proficient_9_12	proficient_6_8	proficient_3_5	residential_reno_permits	north_carolina_health_choice	tree_canopy	bicycle_friendly	energy_consumption	adopt_a_stream	commercial_building_sqft	street_connectivity	juvenile_incidents	streets_adopted	nuisance_violations	animal_control	residents_on_committees	neighborhood_organizations	code_violations	near_public_outdoor_recreation	near_medicaid_or_free_clinic	property_crime	residential_recycling	sidewalks	violent_crime	registered_voters	voter_participation	white	black	asian	group_population	other_population	neighborhood_schools	owner_occupied	near_drugstore	public_transit	residential_vacant	no_highschool_diploma	rent	private_schools	grants	commercial_code_violations	commercial_property_value_change	preschool_programs	school_aged_programs	subsidized_housing	zoning_violations	waste_generation	residential_vacant_rate	residential_tree_canopy	hispanic
22	736	38	314	88.7	1.5		68	105223	1946	3005	1955	48	1159	21.3	56.4	11.8	5.8	27.4	14.8	100	46.1	24.3	2.2	1.9	51211	18.2	17.4	467	76.9	5	36	5.3	0.049	8.7		63.6		50	36.4	15.4	4	15.5	33	1.4	871	14.8	1286926	1.3	1408	6.12	141	105	1	1	8	100	0	10734	39.8	61	1359	65.3	31.4	39.1	50.3	8.2	0	0.4	69.6	35.7	0	201	44	35.4	786	0				1	1	1.9		27.8	15.8	50.1	2.6
23	1100	31	281	86	2		75	110871	1981		1985	54	1455	34.4	83.3	4.4	0.3	16.7	17	82.5	25.1	46.4	3.1	3.7	18536		34.1	549	56		1	5.9	0.035	6.7	66.7	50	68.8	72	58.8	51.3	2	2.9	50.5	1.7	718	30.6	323519	1	1044	0	75	69	0	1	4	99.5	0.5	4364	53.5	46.8	727	63.5	37.7	44.3	45	2.1	0	4.7	71.7	34.6	0	0	3	14.1	645	22.6				1	1	91.1		52.6	18.8	48.1	9.3
24	1129	40	180	95.8	2.6		82	205065	1956		1965	54	1493	37.9	59.3	4.7	6.2	22.8	13.1	100	17.9	18.2	0.6	33.7	47361		17.9	474	49.1			5.7	0.019	3.6	58.3	50	61.1	72	55.2	52.6	10	8	40.5	1.7	819	0	187398	1.3	0	0	138	46	1	1	1	98.1	0	2569	66.3	45.8	354	59.5	37.1	61.3	6.1	2.2	0	27.9	75.7	56.7	0	863	3	22	650	0				0	0	0		33.1	8.7	51.2	44
25	2829	40	676	96.7	1.7		71	279979	1988		1988	61	2782	47.8	81.7	0.6	2.6	18.2	3.3	36.8	6.4	2.9	0.7	4.7	88125	20.8	2.3	1111	45.6		3	10.1	0.005	0	72.3	75.6	77.5	96.3	93.7	92.4	30	2.5	57.2	1.5	1476	0	208555	1.1	0	0	268	87	1	2	2	43.9	0	778	73.5	24.6	71	94.9	50.9	88.6	4.1	4.8	0	0.9	96.5	89	26.7	0	13	0	1033	22.5				0	0	0.1		45.2	4	63.5	3.8
26	2980	37	1136	75.2	0.9		71	162435	1994		1968	63	2043	52.9	77	1.6	0.9	7.1	4.8		7.3	7.6	1.1	8.5	76849	13.7	5.9	1066	44.7		23		0.007	0	71.6	57.3	68.8	79.6	82.8	80.5	6	3	62.7	1.1	1368	0	16514	1.1	111	0	3	90	2	1	0	0	0	772		45.1	67	87	48.7	59.4	31.7	1.6	0.2	3.5	86.4	92.4	0	0	25	6.3	1154	12.6				0	0	0			3.1	48.9	7.2
27	2656	28	321	92.6	3.1		49	117421	1997		1990	42	1546	53	92.2	1.3	-0.2	16.8	9.1	74.7	12.3	17.8	2.1	7.9	57560	66.6	16.5	990	49.8		3	6.8	0.01	4.7	62.3	75	61.4	76.7	70.2	64.8	10	6.9	48.6	1.3	964	1	69197	1.1	0	2.34	142	143	0	0	2	100	0	1506	56	56.4	151	61.2	38.2	45.7	33.2	4	0	13.4	73.8	77.5	68	31		6	858	2.1				1	1	12.3		28	4.3	51.9	24.6
28	946	45	194	98.6	2.8		76	437164	1962	139	1979	68	2902	8	77.9	0	2.3	28.9	0	100	13.7	1.4		0	51429	50	1.6	545	42.5	6		9.6	0.03	0	75	80	80	100	100	100	13		58.9	1.8	1133	0	286624	1.3	1130	0	8	38	0	1	0	38.5	100	5814	81.2	29.8	211	93	58.2	96.7	1.8	0.7	0	0.6	78.6	75.8	93.8	23	11	6.2	842	31.6				0	0	0		52.1	22.1	69.7	1.5
29	1172	50	424	96.5	1.4		70	224405	1983		1981	54	2826	37.6	88.4	3.9	1.7	15.7	12.8	17.8	7.2	2	0.5	8.9	83644		2	566	43.5		1	9.1	0.022	0	65	77.8	44.4	82.4	80.7	85.3	14	3.5	60.3	1.5	1360	17.4	1066	1	0	1.23	28	50	1	2	2	83	0	853	69.9	36.8	0	95.1	53.1	91.1	3	3.2	0	0.3	95.1	90.3	0	0	15	1.1		28.1				1	1	0		43.7	5.3	63.5	4.6
30	1204	20	477	91.8	1.1		69	56104	1958		1964	45	962	47.2	51.1	3.2	1.2	27.9	25.4	100	63.8	78.2		40.3	10781	3.6	52.8	503	87.1			5.1	0.056	6.5	29.4	44.6	48.6	46.2	34.9	33.9	1	2.3	31.7	1.8	631	27.5	1649080	1.3	3089	2.42	45	183	0	0	7	100	0	8472	28.4	52.2	1744	60.4	29.3	2.4	92.9	0.2	2.1	2.6	76.4	6.6	1.2	339	40	31.9	215	6.6				1	1	80.5		31.8	3.9	43	5
31	1599	40	385	98.1	1.8		80	371686	1970		1976	77	3029	17.8	82.1	0	3.1	19.2	1.9	61.4	4.1	1.4	0.2	3	102361	19.8	1.4	677	43.9		5	9.5	0.044	0	55.6	65.2	55.6	96.2	95.9	95.7	24		54.6	1.7	1370	1.2	8500	1.2	195	0.89	8	23	2	2	0	34.7	26.6	500	83.2	19.6	63	99.9	61.8	95.7	1.4	1.3	0	0.3	89.7	93.6	4.4	9	8	1.8	1217	11.5				0	0	0		52.4	5.5	57.8	1.4
