id	p1	median_age	area	developed_land	residential_density	land_use_proximity	age_death	singlefamily_property_value	year_built	commercial_permits	commercial_year_built	gas_consumption	heated_sqft	commute_time	drive_alone	dropout_rate	change_residential_property_value	impervious_surface	unexcused_absences	transit_proximity	rental_units	foodstamps	foreclosures	employed_6_months	median_household_income	grocery_stores	medicaid	housing_units	part_time	new_building_permits	structures_in_floodplain	water_consumption	fire_calls	births_to_adolescents	growth_3_5	growth_6_8	growth_9_12	proficient_9_12	proficient_6_8	proficient_3_5	residential_reno_permits	north_carolina_health_choice	tree_canopy	bicycle_friendly	energy_consumption	adopt_a_stream	commercial_building_sqft	street_connectivity	juvenile_incidents	streets_adopted	nuisance_violations	animal_control	residents_on_committees	neighborhood_organizations	code_violations	near_public_outdoor_recreation	near_medicaid_or_free_clinic	property_crime	residential_recycling	sidewalks	violent_crime	registered_voters	voter_participation	white	black	asian	group_population	other_population	neighborhood_schools	owner_occupied	near_drugstore	public_transit	residential_vacant	no_highschool_diploma	rent	private_schools	grants	commercial_code_violations	commercial_property_value_change	preschool_programs	school_aged_programs	subsidized_housing	zoning_violations	waste_generation	residential_vacant_rate	residential_tree_canopy	hispanic
101	1819	26	126	92.3	5.8		52	97528	1981	138781	1960	61	1279	56.4	30.2	9.5	-0.1	26.2	16.4	100	37.8	34.8	2.2	0	36489		28.3	729	48.9			6.5	0.013	10.1	50	59.3	39.1	31.7	36.5	62.3		6.7	39.8	1.9	1206	0	14859	1.2	1573	0	39	51	0	1	6	66.3	0	3683	43.2	64.7	1814	28.6	25.5	20.1	34.8	0.1	0	39.2	77.3	12.8	0	210	15	51	736	12.2				1	1	1		34.3	20.8	42.8	63
102	1337	24	197	94	2.7		66	85976	1977		1981	49	1200	39.6	54.7	6.9	-1.1	15.7	13.4	100	34.7	34.7	2.2	0	28993		28.1	524	44.4			6.3	0.027	8.1	46.2	52.5	36	58.8	47.8	52.1	1	5.2	48.2	1.1	1176	0	18884	1	1989	0	335	113	1	0	3	49.9	9.6	4936	44.2	19.6	748	58.2	39.3	23	53	4.2	0.1	14.7	64.6	38.5	14.7	6	17	16.8	882	0				5	5	2.1		32.9	9.5	52.1	27.8
103	1346	23	136	81.4	3.5		72	45578	1999		1980	40	1202	29.7	85.3	11.9	-3.4	21.3	16.1	100	30	35.1		15.4	38286		24.6	479	38.1			5.3	0.012	5.1	59.6	66.7	45.8	41.7	42.1	51.3	1	5.2	46.2	1.4	933	0	53497	1.1	323	0	116	83	0	0	1	5.2	0	4681	46.4	43.1	1263	40.7	32.1	22.3	52.6	1.5	8.4	22.4	71.3	33.3	0	46	12	18.9	662	0				1	1	6.5		21.9	14.3	47.5	37.5
104	1467	26	202	79.3	4.6		45	76792	1970		1993	66	1953	25.1	94.4	0	-1.8	28.2	19.6	99.3	17.7	10.7	1.9	10.7	36179	58.6	7.2	938	41.1			6.6	0.02	5.6	62.5	28.6			36.4	69.2		1.8	37	1.2	854	0	237324	1.2	365	0	36	50	1	1	0	98.4	40.5	3954	64.7	16	341	47.9	31.3	46.7	35.5	7.5	0	5.9	50.9	17.1	58.7	4		5.2	829	38.9				1	1	0		37.6	9	43.6	10
105	847	31	222	89.3	2		65	180923	1962		1978	41	1657	14.6	89.1	0	1.9	6.8	18.9	89.2	14	18.7		0	70855		16.2	434	44	36	3	5.9	0.018	3.3	46.7	43.5	66.7	60	41.7	47.6	1	2	40.5	1.5	912	0	2068	1.3	0	0	58	25	1	1	1	96.6	0	1299	64	30.1	118	68.7	45	67.7	21.7	5.5	0	3	78.9	82.7	8	2		5.8	736	5.7				1	1	11.1		47.1	14.2	52.4	8.7
106	1256	28	152	98.7	4.8		56	210037	1963	3315	1976	48	1661	8.6	43.3	0	6.9	49.3	10.2	100	23.3	32.2		9.8	33000	98.8	26.2	729	63.1			5	0.031	1.8	56	37	50	55	27.6	33.3	1	5	14	1.4	687	12	652119	1.1	2895	1	68	41	0	0	5	100	97.4	11146		40.8	1035	30.7	22.5	24	26.4	3.9	0	41.9	75.2	4.1	97.9	69		23.9	659	0				0	0	0.1		42.1	21.5	33.3	51.7
107	1985	28	163	93.7	6.7		54	106173	1958		1996	36	1642	59.6	85	4	-0.8	30	11.9	100	45.5	24.4	0.4	3.6	44375		19.1	1071	26.1		1	5.5	0.014	9.2	67.5	74.1	44.4	75	56.5	53.9		6.7	40.4	1.2	934	41.5	74860	1.2	525	0	20	65	0	0	1	100	0	4232		32.2	353	49	30.3	33.9	45.3	2.2	0	12.5	90.7	20.6	1	57	1	1.9	728	0				1	0	0.3		24.3	10.5	42.5	17.7
108	1319	38	576	80.5	1		82	133322	1987		1987	47	1828	33.1	89.8	2.3	0.2	12.2	8.8	60	10.6	12.9	1.3	6	61546		12.1	547	52.5	1	1	6.3	0.011	7.1	53.6	70.7	60.6	75	77.4	72.9	22	5.3	67.8	1.3	1048	0	251432	1.1		0	46	34	0	0	3	98.4	0	2805	59.8	28.3		81.5	45.1	61.2	26.7	3.3	0.2	4.7	85.2	87.3	0	17	4	9.1	592	7				2	3	0		25.1	6.8	74.4	12.8
109	2147	35	1466	81.2	0.7		72	346752	1994	9172	1996	65	3364	40.2	74.6	0	1.3	8.9	5.1	44	9.4	13.5	1.3	3.2	63333	39.2	8.3	836	45.4	11	146	11.1	0.015	2.3	71.4	62.7	61.9	61.8	68.9	74.2	12	4.2	51	1.2	1508	0	365618	1.1	1084	0	6	88	1	3	1	35.6	25.7	8477	82.5	31.6	279	85	50.6	67.6	26.1	3	0	1.1	77.1	68.5	43.5	53	104	2.9	840	19.4				1	1	14.2		29.7	5.5	60.7	3
110	1671	35	1546	77.1	0.5		73	212286	1988		1991	58	2233	36	88.9	2.4	0.6	5.7	8.1	33.3	13.3	13.5	0.8	14.3	67969	33.3	10.2	754	45.6		56	5.7	0.019	0	56.3	63.9	52.9	65.9	78.5	82.2	6	4.3	53.3	1.2	1191	0	164197	1.1	214	0	14	62	0	2	1	51.6	32.6	2334	59.9	14	120	75.8	50.4	61	30.7	2.4	0	3.2	86.7	59.5	33.3	2	37	10.7	884	15.2				0	0	0.1		30.5	8.7	58.7	6.9
111	2274	30	766	70.1	1.2		51	157403	1999		1993	52	2268	36.9	58.5	0	0	10.5	10.6	88.4	12.9	9.4	1.6	21.1	77838		8.1	889	45.6	70		6.8	0.014	1.9	60.3	64.5	70.2	77.5	63.2	66.1	3	7	39.4	1.3	1056	0	855333	1.2	1058	0	61	84	0	0	1	0.1	0	1671	65	40.2	220	58	40.8	32.4	41.6	12.2	0	11	54.4	63.4	0	4	158	12.4	991	1.7				2	1	0.2		37.6	8.7	30	19.2
112	1280	30	1639	65.7	0.3		78	143436	1983		1947	45	2062	27.9	71.9	2.2	-1.8	2.7	10.3		25.7	19.2	1.2	15.2	55101		13.7	527	48		5	6.3	0.009	7.5	64.5	56.7	75	81.5	40.5	49.1	5	3.8	68.6	1.2	1282	0	12211	1.2	539	0	7	73	0	0	1	53	0	2500	56.2	19.4	313	73.8	47.8	51.2	39.1	5	0	2.1	75.5	75.8	0	0	118	12.4		13.3				1	0	1.3		26.5	9.4	68.6	4.5
113	3630	28	1340	80.2	1		68	95455	1996		1989	42	1678	32.2	75.7	3.1	-3.7	9.2	10.5	5.7	19.5	20.6	2.9	8.9	56687		15.1	1329	35	23	2	5.5	0.011	5.7	48.7	60.1	66.7	77	58.3	61.6	4	7.5	56.7	1.4	1074	0	401249	1.2	442	0	173	174	0	0	1	42.4	0	3636	46.6	43.2	220	73.2	40.4	26.4	63.2	2.4	0.1	4.3	68.4	80.9	0	0	214	10.8	1132	6.2				3	4	2.1		24.3	7.1	55.6	8.1
114	1206	26	655	74	0.8		65	80342	1959	5170	1984	36	961	30.8	60.7	11.9	3	15.7	31.2	100	65.4	38.7	1.1	17.7	16964		24.4	546	79.3		1	4.9	0.017	15.1	57.6	47.2	54.2	42.4	26.8	40.6		2.3	48	1.4	1032	0	1122649	1.2	226	0	111	89	0	1	13	83.5	0	4643	36	39.1	829	31.1	25.7	11.9	69.3	7	2	8	70.9	15.4	0	46	34	44	507	0				2	2	3.1		20.6	22.2	51.6	11.9
115	3312	35	720	77.8	2.1		66	285088	2001	9429	2006	58	2840	55.2	74.9	1.6	2.3	13.9	3.2		5.4	1.4	0.7	7.8	98188	11.8	3	1522	41.7	162	8	8.1	0.011	1	62.7	70.7	59.7	92.9	93.9	94.2	41	1.1	28.5	1.4	965	0	262235	1.3	531	0	40	77	1	1	1	91.4	42.1	906	69.2	73.4	91	84.4	46.6	84.1	6.7	6.3	0	0.5	96.2	72	13.9	0	250	0	1204	9.8				3	2	0		39.4	6.5	17.1	4.3
116	2817	28	3672	72.4	0.3		62	126971	1984	11208	1982	45	1479	32.1	64.7	3.7	0.8	14.7	12.8	94.3	31.2	32.8	2.5	2.2	37109	74.4	26.4	1120	47.8	47	40	5.8	0.054	8.9	44.4	50	50	48.2	47.1	38.1	12	7.9	35.1	1.4	902	0	8864238	1.3	584	1.56	213	102	0	0	8	82.4	63.6	8662	44.3	39.2	852	50.8	34.5	27.4	40.2	1.9	0	25	79.8	35.3	45.8	6135	106	44.6	754	1				4	3	9.7		34.2	11.6	24.3	44.2
117	3308	32	1003	93.4	1.4		47	106938	2003		1991	48	1999	33.9	80.1	2.9	-4.1	8.6	15.4	26.4	18	24	2.9	3.6	46705	23.5	18.2	1354	39.6	20	1	5.6	0.011	5.1	48.3	66.9	53.9	55.9	54.7	55.6	4	8.2	58.1	1.4	1031	0	284370	1.1	284	4.85	301	171	0	0	4	31.7	0	2600	51.3	63	151	69.7	38.9	19.2	68.6	2.3	0	7.5	68.7	60.6	23.5	0	158	9.9	830	4.3				5	5	1.3		17.2	10.1	65.6	14.4
118	1159	39	320	95.3	1.3		70	296713	1984		2000	54	2605	29.7	88.5	1.7	2.8	13.4	4.2		8.4	1.4		16.7	106010		1.6	416	50.7		10	8.8	0.022	0	50	75.6	55.6	100	95.6	95.8	12	3.1	62.8	1.2	1435	0	18454	1.1		1.13	10	40	0	0	2	78.6	0	863	75	14		98.8	52.9	89	3.9	5.7	0	0.3	95.4	93	0	0	16	1.9		24.2				3	2	0		42.4	4.3	69.1	4.7
119	1311	34	1021	75.7	0.5		62	99347	1973		1980	48	1591	12.9	81.4	7	1.2	9.5	15.1	79.7	14.5	18.8	1.5	7.6	49022	23.7	15.1	469	44.4		2	6.7	0.057	8.3	66.7	71.4	58.3	72.7	57.7	70.5	5	8.5	59.9	1.3	1268	0	142057	1.2	3934	0	113	100	0	1	1	99.8	0	6865	60.2	19.4	458	66.2	45.1	46.1	23	21.2	1.3	5.7	76.7	85.9	25.2	51	53	28.6	926	1.9				1	2	1.3		37.6	6	60.2	11.9
120	1451	28	385	87.3	1.6		63	79925	1970		1974	56	1180	16.4	70.7	5	1.1	11.7	12.1	100	46.6	52.9	2.4	11	19688		37.4	596	72.9	5	3	5.3	0.018	6.9	58	58.3	48	54.3	47.2	50	2	7.2	31.3	1.4	1068	1.7	175090	1.2	852	0.62	119	95	0	1	14	100	0	6409	41.1	39.5	414	76	39.4	2	93.7	1	0	0.7	49.5	22.1	1.5	245	126	46.8	703	4.7				5	3	70.8		24.8	6	35.4	3.2
121	2072	40	462	91.8	1.8		72	82860	1965		1984	46	1220	36.1	94.8	0.8	-0.9	14.5	14.8	100	37	32.4	2.8	4.4	44338	3.6	23.2	826	52.6			6.1	0.034	5.2	59.7	50.6	52.6	47.5	49.5	50	6	9.1	50.2	1.5	968	0	428959	1.2	731	0.86	242	192	1	3	10	83.9	0	6081	50	17.2	820	67	35.3	29	50.1	2.8	0.2	14.1	67.3	59.6	0	228	5	33.4	1053	0				4	3	9.3		34.4	9.7	56.5	24.3
122			3808	98.2				143300	1949		1983		1368					27.2													2										1		13.8	1.3		0	5202425	1.3		0	1	31	0	0	0		0			17.4											0	218	84							0	0						
123	2443	41	1227	85.2	0.9		69	59197	1975	20723	1981	61	1488	12	87.4	5.2	-4.4	9.8	9.7	98.4	19.4	34.3	1	2	36733	1.3	22.8	1089	49.9		2	5.6	0.045	6.9	57.1	64.6	75.9	65.9	42.5	53.9	12	7.7	54.9	1.4	1002	0	622301	1.2	562	0.45	98	117	2	4	8	98.3	78.1	4134	53.5	41.5	491	96.6	54.1	3.5	92.6	0.3	0.2	1.2	66.8	59.8	1.3	748	40	7.7	680	3.3				4	5	10.7		35.9	5.8	51	4.3
124	1809	45	708	86.5	1.3		67	73792	1951	29587	1972	46	1196	16.1	72.3	5.1	0.5	35.5	17.2	100	39.8	40.5	1.4	11.9	29424	83.6	28.2	890	48.8			5.2	0.07	14.8	66.7	60.3	60	58	50	39.8	4	11.5	38.6	1.9	840	19.3	1688507	1.4	14596	0.54	284	194	1	2	14	100	48	37922	44.3	61.5	1935	65.6	41.1	20.8	68.5	2.9	0	3.8	62.8	46.9	93	929	23	25.8	755	0				8	9	5.7		38	15.1	60.4	6.2
125	2935	29	1032	82.8	1		62	85894	1989		1983	44	1445	25.1	83.5	2.1	-2.9	18.6	10.1	33.2	21.3	27.4	2.1	6.3	44893		19.3	1029	48.2	11		5.7	0.031	8.3	50.6	64.7	62.5	67.2	54.4	54.8	8	11.3	46	1.4	967	0	2547775	1.2	1546	0.38	239	237	0	0	9	47.6	0	5349	48.6	22.8	954	68.5	40.9	16.6	70.8	3	0.1	5.1	67.5	63.9	0	26	131	12.1	847	0				4	5	4.5		22.9	13.5	53.6	9.1
126	13	46	141	35.9	1.2		58	56880	1935		1966	48	1225	45.2	23.7		-0.1	7.8		100				0	12148	0.6		41	25.6														35.8	1.5	769	0	16584	1.4	0	0	10	8	0	1	0	100	0			68.2	7692		55		100		0			66.7	0	136	10	42.4	573	0				0	0	100				30.4	
127	2613	34	451	88.3	2.2		78	113514	1978		1982	48	1594	51.9	72.6	0	-0.6	30.5	16.4	98.7	23.1	28.2	1.8	9.7	35873	66.9	21	988	36.6	1	1	6.6	0.018	7.8	67.4	72.3	53.3	65.4	46.3	59.5	4	6.8	50	1.3	1089	1.7	1343204	1.1	974	0.17	142	114	0	2	3	63	19.1	3597	49.9	49.5	804	47.6	37.3	26.7	46	2.4	2.8	21.5	57.4	23.5	58.5	1077	29	26.2	778	7.1				2	3	1		30.6	9.9	58.1	29.7
128	2503	33	269	94	3.9		58	72938	1959	2000	1968	47	1096	47.4	57.8	3.2	-0.6	20.4	19.2	100	44.5	39.2	3	6.3	25162	3.8	28.7	1045	62.8		98	5.4	0.014	13.7	61.9	76	58.1	67.6	43.7	51.7	7	10.9	67.5	1.8	1211	3.3	69699	1.3	825	0	242	266	0	0	17	100	7.3	5433	43.9	33.1	759	43.2	30.9	23.4	43.7	3.4	0.2	23.3	50.9	28.7	7.8	122	13	38	617	2.8				1	1	2.7		23.5	16.3	73.5	38.8
129	2184	41	485	100	1.8		66	270093	1985			46	2579	22.9	80.1	2	1.7	15.3	5.3	96	5.5	1.2	0.1	5.4	79348	15.9	1.6	869	52.5		44	10.5	0.007	0	80	58.1	60	90	91.2	100	25		56.4	1.5	1506	26.4	0	1.1	198	0	14	35	0	1	0	98.7	18.4	916	81.2	22.9	0	99	55.4	93.7	2.8	1.6	0	0.6	60.5	92.3	25.7	5	1	0	879	36.5				0	0	0.1		44.9	3	49.6	2.2
130	1535	44	4494	67	0.2		61	429584	1987	202	1981	70	3303	38.1	77	0	1.7	3	4.2		16.5	2.4	1.1	6	98953		2.2	756	41.4	1	161	22.2	0.01	0	65.4	68	77.8	88.9	82.1	86.5	23		61.5	1.2	1776	0	52541	1.2	0	0	1	58	1	1	0	77.8	0	2215		36.7	65	92.8	48.9	89.1	6.3	2.4	0	0.9	62.9	90.9	0	0	49	1		42.5				0	0	0			13.1	65.7	2.8
131	1806	32	270	84.4	2.6		47	123012	1991			52	1594	48.9	90.2	3.1	0.7	14.4	8.5	20.3	10	11.4	1	2.9	57841		11.3	709	36.1	14		6.2	0.011	2.9	56.3	71.2	39.4	81.3	83.6	71.2	14	6.5	54.1	1.3	1106	35.6	0	1.1	202	0	161	89	0	0	0	100	0	886	62	38.7	111	80.6	34.2	59.2	24.3	4.3	0	9	72.6	84.6	1.1	0	47	7.2	1059	12.2				1	1	0.6		28.9	6.2	57.1	16.5
132	458	43	189	99.6	1.5		73	180233	1953		1962	44	1316	0	100	0	6.1	16.9	17.6	100	25	14		13.3	46144	87.8	10.5	280	48.3		12	4.6	0.059	0		75			50	87.5	8		50.7	1.7	832	19.3	126598	1.2	0	1.64	95	26	1	0	0	100	8.6	3493	49.9	38.1	437	85.1	40.2	88.4	5.5	2	0	3.3	55.9	61.4	0	15	5	2.3	1011	27.5				0	0	0.4		39.4	15.4	57.6	5.7
133	983	39	159	97.1	3.9		64	265717	1963			54	2365	19.8	59.4	0	2.4	20.1	5.6	100	10.7	2.7	0.2	16.3	67273	79.6	2.1	626	32.4		27	8.1	0.017	0	58.3	88.9	55.6	93.3	95	95	8		50.8	1.3	901	90.2	0	1.1	0	0.77	17	40	0	3	0	100	85.9	1729	70.8	53.4	0	82.6	43.6	91.9	3.2	2	0	1.5	88.9	52.9	27.5	3	7	0	638	0				0	0	0		48.6	8.9	55.3	3.6
134	794	25	116	86	3.9		60	102150	1981		1989	43	1590	59.6	84.9	2.6	0.1	19	11.3	100	21.1	29.6	2.7	0	48700	34.5	23	449	43.8		4	6.7	0.014	6.1	58.1	41.9	61.1	66.7	48.6	60.7	1	12.2	60.3	1.3	1124	2.2	14725	1.2	0	0	126	64	1	0	2	100	0	4786	56	14	630	76	39.1	33.8	45.7	4	0.5	12.7	64.3	47.5	100	2	3	34.9	741	0				2	2	0.7		35.6	6.4	60.2	24.8
135	1248	38	141	95	3.9		78	60811			1978	43		25.3	93.6	0	-3.2	41.1	19.8	100		40.7	3.6	17.1	26058		27.8	554	62.4				0.029	0	53.9	55.6	61.5	76.5	57.5	31.3		12.6	45	1	1021	35	45115	1	2682	0	9	42	0	1	1	100	100	7212		30.3	1122	50.2	28.6	21.9	66.3	0.9	9.3	7.4	53.8	16.7	100	108		19.3	721	0				0	0	3.2			18.6	61.2	14.3
136	1848	30	704	84.5	1.1		60	162469	2001		1973	58	2146	32.1	91.9	1.8	0.1	6.5	5.9	28.2	9.6	7	0.7	0	72000	9.7	5.8	763	31.3	16	31	6.2	0.018	1.1	64	73.2	80.8	73.7	61.9	73.8	10	1.9	50.6	1.4	1181	0	20612	1.2	0	0	21	70	0	1	1	77.9	0	1245	61.4	65.1	0	79.5	48.1	71.2	22.2	1.8	0	1.7	72.3	89.5	3.3	11	85	3.4		2.3				0	0	0		29.1	7.3	44.4	6.1
137	1839	27	734	78	0.7		60	99483	1994		1977	42	1572	53	77	5.3	-2.7	11.4	11.7	7.2	29	32.1	1.5	13.4	53384		28.2	545	37.8	3		5.3	0.026	5.9	56.7	51	60.4	68.3	50	55.1	2	10.5	51.3	1.3	1101	0	675660	1.2	317	0	144	105	0	0	2	80.5	0	5710	45	17.7	272	57.2	38.5	23.1	52.7	1.8	0	17.8	76.2	66.4	1.7	2	53	31.6	569	3.9				0	0	2		21.4	10.9	52.4	28.9
138	704	51	509	92.1	0.5		71	72820	1961	20557	1979	51	1154	27.8	70.4	0	1.5	23.4	12.8	100	39.9	33.5	0.4	0	50272		23.9	252	38.1		5	5.8	0.08	12	59.1	61.3	58.8	81	48.4	41.7	6	12	48.8	1.3	1241	0	1206637	1.2	4430	0	104	93	0	1	5	100	98.4	16193	53.8	26	2983	59.6	32.8	26.3	38.6	4.8	0	25.6	56.6	60.4	0	100	31	11.4	1092	29.5				2	2	3.2		48	11.1	70.5	31.3
139	1475	32	645	75.8	0.9		67	78096	1989		1976	43	1285	30.7	83.2	5.2	-3.6	8.6	10.9	100	27.2	28.1	1.6	17.3	30615	16.9	21.6	558	66.4		1	5.5	0.022	9.5	29	55.6	67.9	59	44	36.1	7	6.4	56.9	1.3	1069	0	187499	1.2	346	0.22	247	116	0	3	6	49.6	19.9	4881	44.4	29.1	746	77.6	41.4	6.3	83.4	1.4	0	5.5	64.8	56	20.5	59	93	12.3	765	0				6	5	5.2		28.6	9.4	49.2	8.3
140	2557	37	1055	86	1		71	101185	1978		1979	46	1484	24.6	89.1	5.4	-0.7	11.1	12.8	87.7	18.1	21.1	1.9	23.7	49896	16.7	17	994	55.3		13	6.4	0.034	7.7	53	75.9	56.4	63.3	64.2	53.9	3	8.9	65.4	1.3	1178	0	448142	1.2	0	0.53	301	188	2	1	11	76.5	0	6218	52.4	16	391	72	48.7	35.9	47.6	4.8	0.2	8.4	71.5	79.9	22.8	65	64	27	1033	5.4				3	3	1.5		35.1	7	72.6	15.4
141	881	28	681	85.5	0.5		54	56932	1960		1969	54	1163	25.9	50.8	2.4	-3.9	28.5	16.5	100	43	47.8	2.3	19.7	27216		33.1	360	59.6	1		5.2	0.106	11.1	64.3	54.1	80	33.3	37.5	46.9	4	4.8	32.1	1.4	1138	0	2654295	1.4	1935	0	105	105	1	0	9	64.1	0	14302	37.9	22.6	2157	57.5	29.7	20	63.5	3.3	0	9	52.2	40.9	0	194	51	32.5	816	0				2	2	5.6		21.2	10.1	61.4	14.9
142	2366	32	446	97.8	2.9		62	79561	1974		1993	49	1231	17.6	88.2	0	-1.4	37.8	18	100	36.5	26.8	2	10.2	42708	14.6	18.6	1299	41.1	1	39	6.7	0.018	10.7	63.6	50.7	43.5	41.5	55.6	72.6	3	15.8	29	1.5	947	31.1	1498101	1.2	7632	0	399	255	0	2	6	99.1	0	10947	52.4	56.1	465	63	38.2	38.5	49.4	2	0	6.6	68.9	33.5	41	108	9	6.6	786	0				2	2	2.5		30.1	13.3	36.5	14.2
143	1323	59	294	97.2	2.1		76	357723	1980		1999	62	3108	26.5	97.7	0	2.8	20.8	2.4	99.7	5.4	0.7	0.2	6.8	101250	12.6	1.4	618	43.8	2		9.5	0.01	0	71.4	83.3	44.4	80	100	94.1	26		46.9	1.4	1399	0	2544	1.1	0	0	6	22	0	2	1	25.5	0	680	70.2	30	0	97.9	61.5	94.9	1.7	1.9	0	0.4	95.2	91.5	11.3	12	18	0	1308	63.1				0	0	0		59.7	4.4	50.5	1.9
144	2055	28	246	69.1	3.7		72	102449	1983	3324	1979	42	1257	34.3	81.1	5.1	0.1	19.5	15	99.7	32	33.2	2.7	3.8	33098	54.8	24.4	914	52.7	50	4	6.5	0.011	6.7	57.7	65.2	63	90.5	58.4	56.8	2	9.3	52.8	1.1	853	0.6	61145	1		0	32	70	1	0	0	90.8	0		40.5	6.8		55.4	29.8	37.1	43.8	2.6	0	11	86.4	28.8	51.5	0	30	20.2	733	9.7				1	1	0.4		19.7	12.3	45.2	19.5
145	1875	31	520	84.5	1.2		66	96531	1984		1992	46	1536	52.3	51.1	3	-1.3	13.8	14.6	60.5	29.1	28.2	2.2	7.8	48068	4.8	20.4	646	31.4			6.4	0.016	8.3	44.2	61.3	84.4	82.9	66.2	60.5	4	11.9	55.9	1.1	1172	3.1	63634	1.1		0	38	128	0	0	0	100	0		57.2	2.9		65.1	33.1	44.3	32.2	1.8	0	16.8	83.3	62	5.3	4	17	24.6	805	0				0	0	3.4		30.3	8.7	57.8	25.4
146	1701	30	440	86.1	1.5		72	126013	1987		2003	55	2008	53.8	80.6	2.1	-1.1	18.2	5.5	84.3	15.1	15.2	1.4	17.7	59286	53.2	14.8	643	48.4	3	19	6.7	0.014	4	56.4	71.4	77.1	88.1	72.4	55.6	9	4.3	47.4	1.4	1225	0.9	324443	1.2	594	0	165	90	0	3	1	85.5	0	3821	58.7	35.3	176	76.3	44.8	46.1	34.5	5.3	0.4	10.3	60.2	84	61	22	73	8.9	1106	5.5				2	2	0.3		39.4	6.3	56.9	20.2
147	2024	44	466	89.6	2.3		65	97266	1979	12801	1994	53	1678	44	87.5	1.9	-1	16	13.1	100	17.7	19.7	1.9	10.9	40394	0.3	15.1	1043	32.2	17	4	6.5	0.021	5.7	55.9	54.4	61.5	90.9	67.3	59.7	8	28.8	57.8	1.3	959	2.6	200213	1.1	613	0	173	114	0	4	2	43.7	50.8	4644	50.6	16.6	988	73.5	37.6	44.8	36.8	3	0.2	10.1	62.1	60.4	19.6	3	44	19	791	35.3				1	1	1.5		40.3	11.3	61.3	16.9
148	2146	40	598	95.5	1.6		66	353041	1992		1983	63	3034	57.1	80.6	0.8	2.4	13.9	3.7	52.3	5.1	1.4		10.9	140164	54.7	1.9	927	44.5	12		10.6	0.011	0	72.7	59.7	63.9	88.9	100	97.7	13		60.4	1.4	1283	0	19857	1.1	161	0	24	56	1	6	1	93.5	0	466	79.8	27.6	0	93.2	53.1	87.3	6.1	4.5	0	1.2	94.8	68.9	52	5	38	2.2	1042	20.2				0	1	0		42.4	5.5	66.1	3.1
149	643	50	278	84.1	1.3		71	173618	1977		2003	34	1990	53.8	96.7	0	-0.5	15.9	3.7		29.7	2.3	3	30.1	67108	39.2	5.1	371	51	7		4.8	0.034	0	44.4	72.2	69.2	85	90	87.5			34.3	1.4	939	0	317406	1.3	0	0	3	7	1	0	1	79.2	0	1400		45.3	156	74.2	46.8	77.8	8.9	9	0	1.6	97.6	78.2	43.5	0	5	2.9		0				0	1	0		50.9	10.5	31.3	8.4
150	1758	33	564	91.1	1.2		68	112058	1992		1974	47	1546	28	85.7	3	-0.2	8.1	11.4	45.4	15.4	22.8	3	11	52059		17.3	680	46.7			5.8	0.01	11.5	59.5	56.3	42.9	55.8	59.1	57.3	2	8.3	63.1	1.3	1053	0	41252	1.1	1507	4.8	59	126	1	0	2	100	0	2105	48	45.6	228	73.5	42.4	15.4	65.4	4	0.1	12.3	55.1	65.4	8.1	0	8	15	1052	0				5	5	1.6		25.3	7.8	38.7	17.4
151	3227	33	535	92.6	2		78	261358	2001	1500	1996	53	2794	53.1	75.2	1.3	2	18.7	4.4		8.1	2.4	0.5	3.6	99182		2.6	1094	46	21		9.7	0.011	1.2	72	72.7	67.6	98.2	93.2	90.8	17	1.8	19.3	1.5	1237	0	35996	1.2	83	0	19	56	3	3	1	98.3	0	899	68.3	74.2	62	75.5	42.8	70.2	7.1	18.7	0	1.8	96.3	89.3	0	0	18	0	1627	15.7				2	3	0.1		33.6	3.3	18.8	6.4
152	742	34	594	60.8	0.5		63	129322	1992			53	1832	52.5	82.4	2.4	0.1	3.9	10.9		22	14.4	2	21.2	65051		11.2	300	25.5	2	5	5.5	0.015	4.2	60.9	73.7	76.9	85.7	60.9	52.5	4	4.5	70.6	1.3	1089	0	1836	1.2	1639	0	47	56	0	1	2	74.2	0	2426	56.1	13.2	0	74.5	39.7	36.3	53.1	5.4	0	0.9	79.5	85.2	0	0	142	0		4.6				1	1	0.3		32.1	6.6	59.6	8.2
153	3753	33	815	89.4	1.5		58	223934	2002	5632	2002	69	2852	34	74.3	1.2	-0.9	15.7	5.9	35.2	7	7.2	1.8	5.9	121597	39.8	6	1225	38.4		17	8.3	0.012	2.6	54.1	67.1	63.2	75.6	77.2	75.6	16	3.5	43.3	1.5	1280	8.1	382394	1.1	1491	0	81	74	3	4	1	73.8	35.7	2052	68.6	65.3	53	74	44.3	31.4	37.8	25.1	0	2.6	79.4	92.4	45.2	0	14	8.3	782	17.4				0	0	0.2		28.5	3.8	42.4	5.7
154	2920	32	735	89.4	1.6		55	172866	1998		2001	50	2283	32.7	92.2	0	-0.4	13	7.2	82.9	9.2	7.3	1.8	6.4	66558	44.3	5.6	1143	53			6.9	0.011	6.7	61.3	67.7	54.7	66.7	74	67.8	8	4.1	42.8	1.7	1095	0	138456	1.1	0	2.4	46	79	1	2	1	100	42.7	1438	67.6	52.3	137	70.7	44.3	46.2	30.3	18.1	0	1.8	82.8	58	47.2	3	26	6.8	1127	10.5				1	1	0.1		30.3	5.8	37.5	6.5
