parid,class,saledate,price,saleval
12185300,R,7/31/2012,38000,Foreclosure Proceedings
12185500,R,3/29/2013,20000,Foreclosure Proceedings
12186400,R,12/27/2011,140000,Foreclosure Proceedings
12193200,R,8/23/2013,109900,Foreclosure Proceedings
12193300,R,11/22/2013,62500,Foreclosure Proceedings
12210150,R,3/2/2012,100000,Foreclosure Proceedings
12216000,R,11/18/2011,60300,Foreclosure Proceedings
12237400,R,2/24/2012,38000,Foreclosure Proceedings
12237850,R,5/30/2012,28000,Foreclosure Proceedings
12242990,R,9/11/2013,40000,Foreclosure Proceedings
12244600,R,1/31/2013,95000,Foreclosure Proceedings
12256800,R,10/22/2013,47001,Foreclosure Proceedings
12257500,R,11/7/2013,34000,Foreclosure Proceedings
12264150,R,11/18/2013,62500,Foreclosure Proceedings
12266000,R,2/25/2014,23299,Foreclosure Proceedings
12284600,R,6/20/2011,26500,Foreclosure Proceedings
12286800,R,8/10/2011,42199,Foreclosure Proceedings
12296600,R,2/28/2012,61100,Foreclosure Proceedings
12307450,R,2/28/2013,35000,Foreclosure Proceedings
12310400,R,8/10/2012,22000,Foreclosure Proceedings
12314100,R,8/27/2012,25000,Foreclosure Proceedings
12322600,R,3/30/2012,61000,Foreclosure Proceedings
12322700,R,10/28/2013,59203,Foreclosure Proceedings
12336300,R,2/6/2013,28000,Foreclosure Proceedings
12366100,R,11/12/2012,195000,Foreclosure Proceedings
12398750,R,5/27/2011,60750,Foreclosure Proceedings
12399700,R,6/19/2014,73000,Foreclosure Proceedings
12446150,R,6/14/2013,46100,Foreclosure Proceedings
12457200,R,1/7/2011,44950,Foreclosure Proceedings
12460901,R,6/16/2011,51050,Foreclosure Proceedings
12467300,R,2/28/2011,525000,Foreclosure Proceedings
12475800,R,6/25/2012,17800,Foreclosure Proceedings
12521800,R,4/10/2012,10750,Foreclosure Proceedings
12524800,R,3/26/2014,40000,Foreclosure Proceedings
12525000,R,9/30/2013,63300,Foreclosure Proceedings
12535375,R,11/1/2013,60113,Foreclosure Proceedings
12537100,R,3/23/2012,55000,Foreclosure Proceedings
12542100,R,4/17/2013,32799,Foreclosure Proceedings
12559850,R,6/15/2012,47000,Foreclosure Proceedings
12564500,R,8/23/2013,41000,Foreclosure Proceedings
12570400,R,10/26/2011,42000,Foreclosure Proceedings
12572600,R,9/9/2013,69900,Foreclosure Proceedings
12574200,R,6/8/2011,63014,Foreclosure Proceedings
12574636,R,11/13/2013,40000,Foreclosure Proceedings
12580276,R,6/15/2012,65113,Foreclosure Proceedings
12580314,R,10/31/2013,58800,Foreclosure Proceedings
12580363,R,7/2/2013,38501,Foreclosure Proceedings
12600800,R,4/17/2013,40425,Foreclosure Proceedings
12650200,R,2/3/2014,62500,Foreclosure Proceedings
12663100,R,7/12/2012,39303,Foreclosure Proceedings
12675650,R,3/23/2011,58830,Foreclosure Proceedings
12677725,R,11/21/2012,22000,Foreclosure Proceedings
12683600,R,2/28/2012,84900,Foreclosure Proceedings
12700500,R,2/14/2011,65500,Foreclosure Proceedings
12715100,R,10/17/2013,10500,Foreclosure Proceedings
12733500,R,4/23/2013,57552,Foreclosure Proceedings
12743100,R,10/14/2013,54000,Foreclosure Proceedings
12752100,R,3/4/2011,38000,Foreclosure Proceedings
12767200,R,12/17/2012,69100,Foreclosure Proceedings
12771450,R,10/3/2011,22000,Foreclosure Proceedings
12773400,R,6/12/2014,161616,Foreclosure Proceedings
12776800,R,1/10/2011,46000,Foreclosure Proceedings
12777700,R,6/26/2012,215199,Foreclosure Proceedings
12779100,R,9/19/2013,55000,Foreclosure Proceedings
12780358,M,1/10/2012,1625000,Foreclosure Proceedings
12780359,M,1/10/2012,1625000,Foreclosure Proceedings
12780360,M,1/10/2012,1625000,Foreclosure Proceedings
12780900,R,8/27/2013,20000,Foreclosure Proceedings
12801500,R,7/29/2011,75500,Foreclosure Proceedings
12803300,R,1/6/2012,22500,Foreclosure Proceedings
12804600,R,7/19/2013,90100,Foreclosure Proceedings
12811550,R,7/30/2012,66000,Foreclosure Proceedings
12816000,R,5/30/2012,28500,Foreclosure Proceedings
12831100,R,10/14/2013,71000,Foreclosure Proceedings
12837277,E,6/19/2012,850000,Foreclosure Proceedings
12842350,R,4/29/2011,105000,Foreclosure Proceedings
12850200,R,6/28/2013,43500,Foreclosure Proceedings
12861300,R,2/19/2014,258000,Foreclosure Proceedings
12868849,R,12/13/2012,50002,Foreclosure Proceedings
12872100,M,2/23/2011,170000,Foreclosure Proceedings
12881300,R,8/14/2013,62000,Foreclosure Proceedings
12888500,R,3/8/2013,63500,Foreclosure Proceedings
12894250,R,7/23/2013,86716,Foreclosure Proceedings
12896490,R,7/31/2013,55113,Foreclosure Proceedings
12897500,R,5/28/2013,85000,Foreclosure Proceedings
12899750,R,5/31/2013,145000,Foreclosure Proceedings
12923975,R,1/16/2014,26299,Foreclosure Proceedings
12937800,R,3/15/2013,58500,Foreclosure Proceedings
12940800,R,9/14/2012,42500,Foreclosure Proceedings
12949000,R,6/27/2013,66000,Foreclosure Proceedings
12956800,R,11/3/2011,22000,Foreclosure Proceedings
12982200,R,3/18/2011,12000,Foreclosure Proceedings
12984700,R,6/26/2013,36350,Foreclosure Proceedings
13020900,R,1/15/2014,70100,Foreclosure Proceedings
13022350,R,4/8/2013,49005,Foreclosure Proceedings
13024300,R,1/24/2014,67500,Foreclosure Proceedings
13025501,R,12/7/2012,66199,Foreclosure Proceedings
13027900,R,3/20/2013,61500,Foreclosure Proceedings
13045700,R,8/1/2013,70000,Foreclosure Proceedings
13046400,R,5/16/2012,32000,Foreclosure Proceedings
13093900,R,1/10/2013,41950,Foreclosure Proceedings
13095600,R,11/5/2012,79500,Foreclosure Proceedings
13131600,R,6/27/2013,83000,Foreclosure Proceedings
13181300,R,12/31/2012,66400,Foreclosure Proceedings
13183250,R,2/22/2013,35200,Foreclosure Proceedings
13185700,C,12/18/2013,100000,Foreclosure Proceedings
13187750,R,4/26/2013,16500,Foreclosure Proceedings
13213200,R,2/6/2014,68000,Foreclosure Proceedings
13220425,C,10/9/2013,4450000,Foreclosure Proceedings
13220455,M,3/29/2011,4750000,Foreclosure Proceedings
13220456,M,3/29/2011,4750000,Foreclosure Proceedings
13220500,R,5/25/2012,70000,Foreclosure Proceedings
13225660,R,9/6/2013,54500,Foreclosure Proceedings
13229453,R,10/8/2013,60000,Foreclosure Proceedings
13231075,R,10/27/2013,20000,Foreclosure Proceedings
13238450,R,12/9/2011,45000,Foreclosure Proceedings
13241800,R,4/26/2012,21600,Foreclosure Proceedings
13249700,R,4/18/2014,18000,Foreclosure Proceedings
13258100,R,6/18/2012,62000,Foreclosure Proceedings
13278200,R,12/29/2011,41900,Foreclosure Proceedings
13278300,R,1/12/2012,10500,Foreclosure Proceedings
13288900,R,7/16/2013,75590,Foreclosure Proceedings
13302200,R,8/5/2013,48000,Foreclosure Proceedings
13307100,M,5/1/2014,148200,Foreclosure Proceedings
13307250,R,3/2/2012,93000,Foreclosure Proceedings
13309300,R,6/9/2011,118000,Foreclosure Proceedings
13324400,R,9/6/2011,46000,Foreclosure Proceedings
13325700,R,8/15/2012,11907,Foreclosure Proceedings
13347625,R,5/1/2012,49212,Foreclosure Proceedings
13349300,R,11/7/2012,43192,Foreclosure Proceedings
13354800,R,6/28/2013,60500,Foreclosure Proceedings
13362575,R,10/6/2011,44275,Foreclosure Proceedings
13388150,R,6/15/2011,62500,Foreclosure Proceedings
13414400,R,2/27/2013,54362,Foreclosure Proceedings
13423600,R,6/21/2013,73000,Foreclosure Proceedings
13429600,R,3/2/2011,110000,Foreclosure Proceedings
13446800,R,3/7/2014,48514,Foreclosure Proceedings
13535800,R,3/13/2012,63000,Foreclosure Proceedings
13540250,R,7/1/2013,224000,Foreclosure Proceedings
13550801,R,3/26/2013,88000,Foreclosure Proceedings
13550806,R,2/21/2013,80000,Foreclosure Proceedings
13559300,R,11/3/2011,29900,Foreclosure Proceedings
13600700,R,12/20/2011,114000,Foreclosure Proceedings
13617300,R,1/28/2011,102000,Foreclosure Proceedings
13623400,R,2/26/2013,50000,Foreclosure Proceedings
13632700,R,12/7/2011,384900,Foreclosure Proceedings
13635800,R,1/17/2013,49900,Foreclosure Proceedings
13645400,R,5/6/2013,64000,Foreclosure Proceedings
13646100,R,6/26/2013,21500,Foreclosure Proceedings
13648375,R,1/28/2011,97500,Foreclosure Proceedings
13705300,R,7/24/2013,42500,Foreclosure Proceedings
13707852,M,12/6/2011,525000,Foreclosure Proceedings
13707853,M,12/6/2011,525000,Foreclosure Proceedings
13718375,R,8/7/2013,57201,Foreclosure Proceedings
13722000,R,1/16/2014,144250,Foreclosure Proceedings
13744659,R,12/11/2012,143000,Foreclosure Proceedings
13759900,R,4/13/2011,185000,Foreclosure Proceedings
13762900,R,6/15/2011,129000,Foreclosure Proceedings
13781500,R,7/13/2011,163000,Foreclosure Proceedings
13783200,R,6/21/2013,73000,Foreclosure Proceedings
13792500,R,5/1/2013,94900,Foreclosure Proceedings
13794200,R,10/24/2013,71000,Foreclosure Proceedings
13801000,R,8/12/2013,10000,Foreclosure Proceedings
13810700,R,2/10/2014,81809,Foreclosure Proceedings
13825800,M,1/10/2012,1625000,Foreclosure Proceedings
13825801,M,1/10/2012,1625000,Foreclosure Proceedings
13830850,M,1/10/2012,1625000,Foreclosure Proceedings
13838600,R,5/2/2013,15150,Foreclosure Proceedings
13885600,R,2/14/2011,55000,Foreclosure Proceedings
13886700,R,8/20/2013,25000,Foreclosure Proceedings
13890000,R,12/4/2012,71500,Foreclosure Proceedings
13901900,R,1/16/2013,66600,Foreclosure Proceedings
13906450,R,11/3/2011,68100,Foreclosure Proceedings
13921900,R,1/24/2012,60000,Foreclosure Proceedings
